Ficha;Fecha De Corte;Hacienda Suerte;Tonelada De Corte;Tipo De Caña;Dia De Corte
0001;20230508;18117 ;02367;1;O
0002;20230508;18117 ;07403;1;O
0003;20230508;18117 ;07403;1;O
0004;20230508;18117 ;02367;1;O
0005;20230508;18117A;05118;1;O
0006;20230508;18117A;06487;1;O
0007;20230508;18117A;05893;1;O
0008;20230508;18117A;05114;1;O
0009;20230508;18117A;05045;1;O
0010;20230508;18117A;03603;1;O
0011;20230508;18117A;05282;1;O
0012;20230508;18117A;05560;1;O
0013;20230508;18117A;04897;1;O
0014;20230508;18117A;04171;1;O
0015;20230508;18117A;04610;1;O
0016;20230508;18117A;04171;1;O
0017;20230508;18117A;03409;1;O
0018;20230508;18117A;06214;1;O
0019;20230508;18117A;04386;1;O
0020;20230508;18117A;05373;1;O
0021;20230508;18117A;03838;1;O
0022;20230508;18117A;05489;1;O
0023;20230508;18117A;03921;1;O
0024;20230508;18117A;04965;1;O
0025;20230508;18117A;04551;1;O
0026;20230508;18117A;03946;1;O
0027;20230508;18117A;05285;1;O
0028;20230508;18117A;05592;1;O
0029;20230508;18117A;06996;1;O
0030;20230508;18117A;03921;1;O
0031;20230508;18117A;04905;1;O
0032;20230508;18117A;04750;1;O
0033;20230508;18117A;04805;1;O
0034;20230508;18117A;05373;1;O
0035;20230508;18117A;04965;1;O
0036;20230508;18117A;05525;1;O
0037;20230508;18117A;05592;1;O
0038;20230509;90002 ;09706;4;O
0039;20230509;90002 ;08159;4;O
0040;20230509;90002 ;05909;4;O
0041;20230509;90002 ;07281;4;O
0042;20230509;90002 ;08259;4;O
0043;20230509;90002 ;07036;4;O
0044;20230509;90002 ;07174;4;O
0045;20230509;90002 ;05514;4;O
0046;20230509;90002 ;06796;4;O
0047;20230509;90002 ;06796;4;O
0048;20230509;90002 ;05540;4;O
0049;20230509;90002 ;05540;4;O
0050;20230509;90002 ;08259;4;O
0051;20230509;90002 ;08565;4;O
0052;20230509;90002 ;07192;4;O
0053;20230509;90002 ;07717;4;O
0054;20230509;90002 ;07717;4;O
0055;20230509;90002 ;08565;4;O
0056;20230509;90002 ;08492;4;O
0057;20230509;90002 ;06322;4;O
0058;20230509;90002 ;10805;4;O
0059;20230509;90002 ;08089;4;O
0060;20230509;90002 ;07773;4;O
0061;20230509;90002 ;09059;4;O
0062;20230509;90002 ;10422;4;O
0063;20230509;90002 ;06107;4;O
0064;20230509;90002 ;07818;4;O
0065;20230509;90002 ;05211;4;O
